question,option,input_type,label
What's your age?,NA,numeric,age
What was your first language?,Arabic,select,first_language
What was your first language?,Armenian,select,first_language
What was your first language?,Chinese,select,first_language
What was your first language?,English,select,first_language
What was your first language?,French,select,first_language
What was your first language?,Creole,select,first_language
What was your first language?,German,select,first_language
What was your first language?,Greek,select,first_language
What was your first language?,Gujarati,select,first_language
What was your first language?,Hebrew,select,first_language
What was your first language?,Hindi,select,first_language
What was your first language?,Italian,select,first_language
What was your first language?,Japanese,select,first_language
What was your first language?,Other,select,first_language
What is the highest level of education you have attained?,Did not attend high school,select,education_attained
What is the highest level of education you have attained?,Some high school,select,education_attained
What is the highest level of education you have attained?,High school graduate,select,education_attained
What is the highest level of education you have attained?,Some college,select,education_attained
What is the highest level of education you have attained?,College,select,education_attained
What is the highest level of education you have attained?,Graduate Work,select,education_attained
